Year,District,Age,Children_Count,Trend_Assumption
2028,Hisingen,0,579,-0.0187
2028,Hisingen,1,617,-0.0187
2028,Hisingen,2,580,-0.0187
2028,Hisingen,3,593,-0.0187
2028,Hisingen,4,584,-0.0187
2028,Hisingen,5,533,-0.0187
2029,Hisingen,0,579,-0.0187
2029,Hisingen,1,559,-0.0187
2029,Hisingen,2,575,-0.0187
2029,Hisingen,3,602,-0.0187
2029,Hisingen,4,558,-0.0187
2029,Hisingen,5,575,-0.0187
2030,Hisingen,0,587,-0.0187
2030,Hisingen,1,563,-0.0187
2030,Hisingen,2,569,-0.0187
2030,Hisingen,3,592,-0.0187
2030,Hisingen,4,544,-0.0187
2030,Hisingen,5,566,-0.0187
2031,Hisingen,0,538,-0.0187
2031,Hisingen,1,580,-0.0187
2031,Hisingen,2,553,-0.0187
2031,Hisingen,3,555,-0.0187
2031,Hisingen,4,547,-0.0187
2031,Hisingen,5,548,-0.0187
2032,Hisingen,0,531,-0.0187
2032,Hisingen,1,551,-0.0187
2032,Hisingen,2,529,-0.0187
2032,Hisingen,3,533,-0.0187
2032,Hisingen,4,533,-0.0187
2032,Hisingen,5,523,-0.0187
2033,Hisingen,0,558,-0.0187
2033,Hisingen,1,509,-0.0187
2033,Hisingen,2,511,-0.0187
2033,Hisingen,3,510,-0.0187
2033,Hisingen,4,513,-0.0187
2033,Hisingen,5,527,-0.0187
2025,Nordost,0,642,0.0148
2025,Nordost,1,706,0.0148
2025,Nordost,2,601,0.0148
2025,Nordost,3,645,0.0148
2025,Nordost,4,641,0.0148
2025,Nordost,5,669,0.0148
2026,Nordost,0,655,0.0148
2026,Nordost,1,649,0.0148
2026,Nordost,2,621,0.0148
2026,Nordost,3,670,0.0148
2026,Nordost,4,597,0.0148
2026,Nordost,5,718,0.0148
2027,Nordost,0,641,0.0148
2027,Nordost,1,639,0.0148
2027,Nordost,2,640,0.0148
2027,Nordost,3,660,0.0148
2027,Nordost,4,714,0.0148
2027,Nordost,5,662,0.0148
2028,Nordost,0,685,0.0148
2028,Nordost,1,745,0.0148
2028,Nordost,2,660,0.0148
2028,Nordost,3,653,0.0148
2028,Nordost,4,736,0.0148
2028,Nordost,5,662,0.0148
2029,Nordost,0,670,0.0148
2029,Nordost,1,640,0.0148
2029,Nordost,2,723,0.0148
2029,Nordost,3,636,0.0148
2029,Nordost,4,680,0.0148
2029,Nordost,5,707,0.0148
2030,Nordost,0,686,0.0148
2030,Nordost,1,668,0.0148
2030,Nordost,2,686,0.0148
2030,Nordost,3,732,0.0148
2030,Nordost,4,700,0.0148
2030,Nordost,5,731,0.0148
2031,Nordost,0,693,0.0148
2031,Nordost,1,695,0.0148
2031,Nordost,2,700,0.0148
2031,Nordost,3,706,0.0148
2031,Nordost,4,799,0.0148
2031,Nordost,5,699,0.0148
2032,Nordost,0,723,0.0148
2032,Nordost,1,741,0.0148
2032,Nordost,2,726,0.0148
2032,Nordost,3,740,0.0148
2032,Nordost,4,701,0.0148
2032,Nordost,5,741,0.0148
2033,Nordost,0,693,0.0148
2033,Nordost,1,729,0.0148
2033,Nordost,2,712,0.0148
2033,Nordost,3,797,0.0148
2033,Nordost,4,704,0.0148
2033,Nordost,5,763,0.0148
2025,Sydväst,0,493,0.0113
2025,Sydväst,1,474,0.0113
2025,Sydväst,2,485,0.0113
2025,Sydväst,3,489,0.0113
2025,Sydväst,4,448,0.0113
2025,Sydväst,5,491,0.0113
2026,Sydväst,0,473,0.0113
2026,Sydväst,1,509,0.0113
2026,Sydväst,2,496,0.0113
2026,Sydväst,3,512,0.0113
2026,Sydväst,4,425,0.0113
2026,Sydväst,5,505,0.0113
2027,Sydväst,0,475,0.0113
2027,Sydväst,1,477,0.0113
2027,Sydväst,2,512,0.0113
2027,Sydväst,3,536,0.0113
2027,Sydväst,4,515,0.0113
2027,Sydväst,5,497,0.0113
2028,Sydväst,0,541,0.0113
2028,Sydväst,1,531,0.0113
2028,Sydväst,2,483,0.0113
2028,Sydväst,3,508,0.0113
2028,Sydväst,4,495,0.0113
2028,Sydväst,5,519,0.0113
2029,Sydväst,0,480,0.0113
2029,Sydväst,1,510,0.0113
2029,Sydväst,2,521,0.0113
2029,Sydväst,3,491,0.0113
2029,Sydväst,4,520,0.0113
2029,Sydväst,5,526,0.0113
2030,Sydväst,0,523,0.0113
2030,Sydväst,1,498,0.0113
2030,Sydväst,2,532,0.0113
2030,Sydväst,3,550,0.0113
2030,Sydväst,4,506,0.0113
2030,Sydväst,5,527,0.0113
2031,Sydväst,0,549,0.0113
2031,Sydväst,1,502,0.0113
2031,Sydväst,2,497,0.0113
2031,Sydväst,3,505,0.0113
2031,Sydväst,4,541,0.0113
2031,Sydväst,5,536,0.0113
2032,Sydväst,0,528,0.0113
2032,Sydväst,1,531,0.0113
2032,Sydväst,2,512,0.0113
2032,Sydväst,3,489,0.0113
2032,Sydväst,4,518,0.0113
2032,Sydväst,5,563,0.0113
2033,Sydväst,0,524,0.0113
2033,Sydväst,1,540,0.0113
2033,Sydväst,2,536,0.0113
2033,Sydväst,3,531,0.0113
2033,Sydväst,4,518,0.0113
2033,Sydväst,5,598,0.0113
2025,Västra,0,750,-0.0254
2025,Västra,1,719,-0.0254
2025,Västra,2,716,-0.0254
2025,Västra,3,669,-0.0254
2025,Västra,4,749,-0.0254
2025,Västra,5,699,-0.0254
2026,Västra,0,735,-0.0254
2026,Västra,1,756,-0.0254
2026,Västra,2,718,-0.0254
2026,Västra,3,686,-0.0254
2026,Västra,4,714,-0.0254
2026,Västra,5,646,-0.0254
2027,Västra,0,699,-0.0254
2027,Västra,1,700,-0.0254
2027,Västra,2,668,-0.0254
2027,Västra,3,715,-0.0254
2027,Västra,4,661,-0.0254
2027,Västra,5,655,-0.0254
2028,Västra,0,676,-0.0254
2028,Västra,1,675,-0.0254
2028,Västra,2,655,-0.0254
2028,Västra,3,654,-0.0254
2028,Västra,4,684,-0.0254
2028,Västra,5,665,-0.0254
2029,Västra,0,665,-0.0254
2029,Västra,1,693,-0.0254
2029,Västra,2,624,-0.0254
2029,Västra,3,627,-0.0254
2029,Västra,4,615,-0.0254
2029,Västra,5,629,-0.0254
2030,Västra,0,684,-0.0254
2030,Västra,1,646,-0.0254
2030,Västra,2,631,-0.0254
2030,Västra,3,608,-0.0254
2030,Västra,4,661,-0.0254
2030,Västra,5,612,-0.0254
2031,Västra,0,617,-0.0254
2031,Västra,1,629,-0.0254
2031,Västra,2,578,-0.0254
2031,Västra,3,606,-0.0254
2031,Västra,4,613,-0.0254
2031,Västra,5,680,-0.0254
2032,Västra,0,632,-0.0254
2032,Västra,1,654,-0.0254
2032,Västra,2,610,-0.0254
2032,Västra,3,576,-0.0254
2032,Västra,4,573,-0.0254
2032,Västra,5,594,-0.0254
2033,Västra,0,637,-0.0254
2033,Västra,1,586,-0.0254
2033,Västra,2,595,-0.0254
2033,Västra,3,565,-0.0254
2033,Västra,4,562,-0.0254
2033,Västra,5,560,-0.0254
