Year,School,District,Capacity_Students,Enrolled_Students,Teachers_FTE,Support_Staff_FTE,Student_Teacher_Ratio,Special_Needs_Ratio,Foreign_Background_Ratio,Avg_Student_Distance_km,Avg_Teacher_Commute_km,Operating_Cost_MSEK,Maintenance_Cost_MSEK,Sick_Leave_Ratio,Teacher_Turnover_Ratio,Avg_Merit_Score_Grade9
2022,Skola_12,Sydväst,736,463,27,13,17.15,0.165,0.324,2.47,8.07,59.45,11.82,0.049,0.137,244.0
2023,Skola_12,Sydväst,736,535,37,16,14.46,0.132,0.482,2.72,19.63,61.16,11.49,0.075,0.102,217.4
2024,Skola_12,Sydväst,736,743,47,21,15.81,0.144,0.492,4.14,15.88,96.08,11.84,0.065,0.122,215.0
2025,Skola_12,Sydväst,736,748,46,17,16.26,0.171,0.339,2.74,17.16,91.91,10.74,0.074,0.15,213.6
2022,Skola_13,Västra,845,768,48,17,16.0,0.143,0.322,1.08,8.06,76.4,9.73,0.046,0.133,220.0
2023,Skola_13,Västra,845,690,44,20,15.68,0.132,0.542,3.03,9.58,85.4,11.37,0.054,0.054,240.2
2024,Skola_13,Västra,845,639,40,13,15.97,0.116,0.401,3.35,6.63,78.58,13.76,0.043,0.164,260.6
2025,Skola_13,Västra,845,567,40,18,14.18,0.088,0.429,4.45,14.59,72.2,10.45,0.07,0.119,249.6
2022,Skola_14,Hisingen,825,681,45,19,15.13,0.17,0.404,2.77,7.71,75.36,12.64,0.05,0.085,230.8
2023,Skola_14,Hisingen,825,696,42,19,16.57,0.089,0.411,1.66,11.49,77.67,11.18,0.066,0.112,242.1
2024,Skola_14,Hisingen,825,528,32,13,16.5,0.136,0.364,2.05,20.39,61.39,10.27,0.06,0.093,261.4
2025,Skola_14,Hisingen,825,644,43,16,14.98,0.129,0.505,1.13,18.89,62.43,15.2,0.042,0.052,248.3
2022,Skola_15,Hisingen,767,679,38,11,17.87,0.178,0.397,3.47,19.13,81.58,11.77,0.059,0.159,221.3
2023,Skola_15,Hisingen,767,577,34,11,16.97,0.154,0.409,3.42,18.28,56.58,11.55,0.077,0.092,242.7
2024,Skola_15,Hisingen,767,637,40,16,15.93,0.135,0.311,3.33,7.41,63.61,7.69,0.045,0.112,243.3
2025,Skola_15,Hisingen,767,553,38,17,14.55,0.155,0.373,4.25,21.85,56.5,10.58,0.077,0.144,212.6
2022,Skola_16,Västra,528,329,19,8,17.32,0.099,0.321,3.14,20.53,34.9,8.39,0.067,0.109,249.3
2023,Skola_16,Västra,528,347,21,7,16.52,0.155,0.401,1.66,20.39,37.63,8.15,0.076,0.131,216.4
2024,Skola_16,Västra,528,449,29,12,15.48,0.149,0.3,4.05,13.93,54.31,8.31,0.08,0.148,248.9
2025,Skola_16,Västra,528,470,27,8,17.41,0.137,0.479,4.04,11.47,58.16,5.86,0.074,0.067,231.9
2022,Skola_17,Västra,560,492,32,14,15.38,0.152,0.442,3.37,14.68,51.08,7.54,0.047,0.168,242.1
2023,Skola_17,Västra,560,535,34,12,15.74,0.141,0.524,1.31,7.61,55.62,9.67,0.064,0.063,260.5
2024,Skola_17,Västra,560,468,26,11,18.0,0.095,0.423,3.04,12.79,56.52,10.83,0.077,0.109,216.2
2025,Skola_17,Västra,560,484,33,11,14.67,0.164,0.35,1.95,9.64,56.28,7.72,0.07,0.077,253.3
2022,Skola_18,Hisingen,874,767,47,22,16.32,0.115,0.354,3.53,13.24,78.89,12.69,0.046,0.073,237.4
2023,Skola_18,Hisingen,874,721,51,18,14.14,0.158,0.333,1.61,9.4,81.5,17.27,0.058,0.122,257.3
2024,Skola_18,Hisingen,874,586,32,12,18.31,0.14,0.27,3.57,9.36,74.09,10.53,0.048,0.055,236.0
2025,Skola_18,Hisingen,874,542,38,17,14.26,0.125,0.407,2.43,12.41,62.11,10.1,0.047,0.162,262.0
2022,Skola_19,Hisingen,757,615,39,11,15.77,0.096,0.465,3.24,6.43,63.2,9.32,0.067,0.053,215.7
2023,Skola_19,Hisingen,757,692,42,20,16.48,0.136,0.466,3.78,21.82,80.35,13.68,0.079,0.173,217.8
2024,Skola_19,Hisingen,757,676,44,13,15.36,0.143,0.471,3.94,7.96,84.96,12.44,0.068,0.168,244.4
2025,Skola_19,Hisingen,757,464,30,11,15.47,0.139,0.33,3.11,12.55,53.05,10.87,0.052,0.173,252.0
2022,Skola_20,Centrum,457,393,21,8,18.71,0.098,0.395,2.7,17.87,46.95,6.41,0.049,0.134,233.2
2023,Skola_20,Centrum,457,427,26,8,16.42,0.107,0.256,4.18,7.88,49.18,5.82,0.062,0.135,255.6
2024,Skola_20,Centrum,457,360,24,7,15.0,0.106,0.33,3.51,10.01,42.18,6.83,0.063,0.159,232.2
2025,Skola_20,Centrum,457,463,28,8,16.54,0.097,0.471,1.11,15.65,47.96,6.35,0.052,0.096,249.5
2022,Skola_21,Nordost,609,462,29,14,15.93,0.094,0.395,1.8,14.64,46.51,11.21,0.074,0.174,218.5
2023,Skola_21,Nordost,609,565,33,10,17.12,0.088,0.468,2.63,17.01,62.27,7.59,0.073,0.154,248.2
2024,Skola_21,Nordost,609,466,28,10,16.64,0.089,0.525,1.31,21.2,51.54,7.22,0.062,0.163,250.3
2025,Skola_21,Nordost,609,513,30,13,17.1,0.144,0.544,4.14,16.35,61.18,6.4,0.067,0.056,242.4
2022,Skola_22,Centrum,385,365,25,10,14.6,0.11,0.527,4.39,21.11,40.73,7.17,0.074,0.091,255.6
2023,Skola_22,Centrum,385,247,15,5,16.47,0.136,0.394,4.07,14.48,27.28,5.41,0.063,0.155,239.6
2024,Skola_22,Centrum,385,383,22,8,17.41,0.123,0.513,2.34,13.39,49.66,3.85,0.047,0.1,261.3
2025,Skola_22,Centrum,385,353,19,7,18.58,0.157,0.371,2.58,16.04,44.33,7.64,0.071,0.104,233.2
2022,Skola_23,Västra,876,701,48,17,14.6,0.109,0.339,1.66,6.67,67.03,17.41,0.057,0.1,247.4
2023,Skola_23,Västra,876,664,37,17,17.95,0.106,0.427,4.43,20.15,77.04,16.68,0.08,0.147,213.6
2024,Skola_23,Västra,876,596,33,14,18.06,0.141,0.404,1.65,8.82,61.22,10.39,0.071,0.096,213.2
2025,Skola_23,Västra,876,571,38,15,15.03,0.14,0.408,1.76,14.24,64.06,17.49,0.076,0.11,244.3
2022,Skola_24,Västra,388,304,17,8,17.88,0.126,0.367,1.81,13.63,29.35,7.19,0.041,0.093,261.2
2023,Skola_24,Västra,388,370,25,9,14.8,0.117,0.328,3.48,13.93,36.2,4.73,0.067,0.06,256.8
2024,Skola_24,Västra,388,271,15,6,18.07,0.171,0.421,3.25,14.7,33.94,6.73,0.061,0.163,223.5
2025,Skola_24,Västra,388,290,16,7,18.12,0.164,0.459,3.32,15.9,35.19,4.5,0.075,0.163,211.6
2022,Skola_25,Hisingen,693,574,37,16,15.51,0.096,0.495,3.88,14.12,54.66,8.92,0.065,0.178,244.7
2023,Skola_25,Hisingen,693,637,41,12,15.54,0.162,0.289,1.85,6.29,70.15,12.75,0.056,0.073,251.5
2024,Skola_25,Hisingen,693,692,38,16,18.21,0.087,0.34,3.42,7.08,79.84,9.33,0.065,0.056,257.9
2025,Skola_25,Hisingen,693,606,36,14,16.83,0.145,0.428,2.22,7.05,74.99,9.51,0.073,0.083,210.1
2022,Skola_26,Hisingen,729,662,36,13,18.39,0.125,0.299,3.74,17.1,68.01,7.89,0.067,0.135,225.0
2023,Skola_26,Hisingen,729,672,47,20,14.3,0.171,0.507,4.37,18.16,74.24,9.56,0.053,0.144,251.0
2024,Skola_26,Hisingen,729,599,42,18,14.26,0.117,0.509,2.55,21.49,60.79,13.62,0.071,0.15,256.5
2025,Skola_26,Hisingen,729,635,38,12,16.71,0.083,0.526,3.08,18.74,71.03,8.15,0.045,0.139,233.7
2022,Skola_27,Centrum,800,596,36,13,16.56,0.178,0.295,2.52,16.89,64.87,15.8,0.069,0.135,251.6
2023,Skola_27,Centrum,800,581,32,14,18.16,0.155,0.294,1.18,15.13,55.57,11.86,0.048,0.095,252.7
2024,Skola_27,Centrum,800,721,47,18,15.34,0.089,0.355,0.92,7.26,78.51,9.06,0.063,0.14,254.0
2025,Skola_27,Centrum,800,585,39,12,15.0,0.144,0.462,0.92,20.98,56.64,12.33,0.068,0.163,249.3
2022,Skola_28,Sydväst,617,480,27,8,17.78,0.169,0.414,3.82,13.24,56.41,9.42,0.069,0.061,213.3
2023,Skola_28,Sydväst,617,456,27,10,16.89,0.142,0.349,2.54,17.91,57.23,8.85,0.042,0.071,211.1
2024,Skola_28,Sydväst,617,580,38,18,15.26,0.177,0.445,1.54,16.88,56.57,6.36,0.05,0.11,257.8
2025,Skola_28,Sydväst,617,528,33,15,16.0,0.143,0.471,3.64,14.08,60.2,9.34,0.064,0.054,231.8
2022,Skola_29,Sydväst,877,860,48,18,17.92,0.108,0.428,4.18,9.37,100.45,14.31,0.069,0.067,249.4
2023,Skola_29,Sydväst,877,765,46,19,16.63,0.117,0.404,2.33,7.11,84.38,9.62,0.056,0.127,241.9
2024,Skola_29,Sydväst,877,609,37,12,16.46,0.119,0.541,1.76,16.51,64.79,15.55,0.045,0.176,235.0
2025,Skola_29,Sydväst,877,535,37,12,14.46,0.132,0.351,3.87,12.89,55.48,14.18,0.068,0.072,219.2
2022,Skola_30,Centrum,406,407,26,10,15.65,0.158,0.462,2.45,19.83,46.62,6.25,0.041,0.178,216.8
2023,Skola_30,Centrum,406,279,15,4,18.6,0.092,0.386,4.26,11.06,31.46,4.23,0.046,0.178,263.1
2024,Skola_30,Centrum,406,285,20,7,14.25,0.177,0.424,1.74,14.35,30.49,6.22,0.045,0.067,217.9
2025,Skola_30,Centrum,406,420,28,12,15.0,0.177,0.278,3.29,13.1,52.66,4.78,0.068,0.159,262.0
