Year,School,Enrolled_Students,Grade_F1_3,Grade_4_6,Grade_7_9,Special_Needs_Ratio,Foreign_Background_Ratio,Avg_Distance_To_School_km,Avg_Merit_Score_Grade9,Teachers_FTE,Support_Staff_FTE,Avg_Teacher_Commute_km,Sick_Leave_Ratio,Teacher_Turnover_Ratio,Avg_Teacher_Age,Operating_Cost_MSEK,Personnel_Cost_MSEK,Cost_Per_Student_KSEK,District,Building_Year,Facility_Area_sqm,Max_Capacity_Students,Maintenance_Backlog_MSEK,Energy_Cost_MSEK_per_Year,Student_Teacher_Ratio,Utilization_Ratio,Support_to_Teacher_Ratio,Personnel_Share,Building_Age,Maintenance_per_Sqm_KSEK,Target_Year,Target_Operating_Cost_MSEK_NextYear,Target_Merit_Score_Grade9_NextYear,Target_Teacher_Shortage_Flag_NextYear,Target_Teacher_Shortage_Prob_NextYear
2023,Skola_09,912,287,321,310,0.091,0.459,4.35,218.2,55,26,22.44,0.06,0.145,38.6,39.61,33.39,129.9,Västra,1990,10125,879,6.62,1.14,16.58,1.038,0.473,0.843,33,0.654,2024,40.99,212.3,0,0.269
2024,Skola_09,893,274,292,262,0.12,0.328,0.93,233.9,18,7,7.11,0.045,0.136,41.7,72.28,27.93,96.8,Västra,1990,10125,879,6.62,1.14,49.61,1.016,0.389,0.386,34,0.654,2025,73.19,180.0,1,0.179
2025,Skola_09,816,259,249,242,0.174,0.345,4.36,241.5,55,22,15.71,0.054,0.102,45.2,58.42,40.05,131.5,Västra,1990,10125,879,6.62,1.14,14.84,0.928,0.4,0.686,35,0.654,2026,61.95,249.2,0,0.217
2023,Skola_10,280,79,97,78,0.147,0.3,2.11,267.2,29,15,16.63,0.069,0.112,42.1,38.44,50.11,133.7,Sydväst,1959,4287,333,8.41,2.47,9.66,0.841,0.517,1.304,64,1.962,2024,40.58,286.8,0,0.318
2024,Skola_10,237,67,81,79,0.105,0.523,3.77,260.6,33,13,16.39,0.046,0.146,50.7,76.28,47.26,128.7,Sydväst,1959,4287,333,8.41,2.47,7.18,0.712,0.394,0.62,65,1.962,2025,79.4,288.1,1,0.23
2025,Skola_10,293,88,100,82,0.131,0.488,3.71,216.5,32,13,7.35,0.063,0.196,45.1,56.91,51.73,106.3,Sydväst,1959,4287,333,8.41,2.47,9.16,0.88,0.406,0.909,66,1.962,2026,58.76,232.4,0,0.385
2023,Skola_11,478,170,155,155,0.114,0.49,0.71,261.5,55,20,17.53,0.079,0.123,44.4,63.9,48.85,133.7,Hisingen,1984,9597,715,8.47,1.41,8.69,0.669,0.364,0.764,39,0.883,2024,67.5,285.9,0,0.106
2024,Skola_11,671,202,236,210,0.177,0.368,4.15,253.5,27,9,15.15,0.057,0.144,44.1,30.17,27.81,141.6,Hisingen,1984,9597,715,8.47,1.41,24.85,0.938,0.333,0.922,40,0.883,2025,31.34,236.1,1,0.322
2025,Skola_11,664,186,217,200,0.125,0.529,1.43,248.2,20,7,7.93,0.052,0.154,39.3,70.8,20.81,119.2,Hisingen,1984,9597,715,8.47,1.41,33.2,0.929,0.35,0.294,41,0.883,2026,72.76,203.5,0,0.098
2023,Skola_12,565,170,185,202,0.114,0.464,4.14,231.6,43,16,23.72,0.068,0.161,49.7,73.08,51.82,121.0,Sydväst,1966,11739,824,3.02,1.95,13.14,0.686,0.372,0.709,57,0.257,2024,73.36,235.8,0,0.24
2024,Skola_12,841,301,276,287,0.153,0.485,2.07,242.4,26,11,20.66,0.043,0.176,42.8,28.39,23.65,96.2,Sydväst,1966,11739,824,3.02,1.95,32.35,1.021,0.423,0.833,58,0.257,2025,28.53,201.2,0,0.408
2025,Skola_12,538,173,169,169,0.17,0.492,2.69,231.1,59,29,20.85,0.06,0.175,45.1,32.44,16.69,130.0,Sydväst,1966,11739,824,3.02,1.95,9.12,0.653,0.492,0.514,59,0.257,2026,32.77,246.5,0,0.349
2023,Skola_13,418,119,140,119,0.12,0.401,0.84,243.4,50,17,11.74,0.069,0.185,50.4,66.16,33.51,139.0,Västra,1958,8218,576,12.77,0.7,8.36,0.726,0.34,0.506,65,1.554,2024,68.04,265.4,0,0.225
2024,Skola_13,505,173,180,181,0.108,0.308,2.7,243.5,40,15,20.56,0.061,0.092,50.2,31.22,22.54,125.6,Västra,1958,8218,576,12.77,0.7,12.62,0.877,0.375,0.722,66,1.554,2025,32.49,255.4,0,0.429
2025,Skola_13,465,136,148,144,0.164,0.546,4.52,223.5,42,20,15.11,0.058,0.189,46.3,55.27,19.38,140.3,Västra,1958,8218,576,12.77,0.7,11.07,0.807,0.476,0.351,67,1.554,2026,55.74,239.5,0,0.439
2023,Skola_14,764,236,269,242,0.125,0.316,3.79,223.2,50,20,8.22,0.061,0.116,43.7,61.18,40.75,113.7,Sydväst,2003,5808,756,15.83,0.87,15.28,1.011,0.4,0.666,20,2.726,2024,64.51,227.5,1,0.183
2024,Skola_14,523,184,182,152,0.105,0.362,1.59,243.8,35,13,13.51,0.075,0.19,38.2,60.19,17.15,110.1,Sydväst,2003,5808,756,15.83,0.87,14.94,0.692,0.371,0.285,21,2.726,2025,62.25,249.3,1,0.123
2025,Skola_14,610,204,184,182,0.129,0.535,2.87,230.2,18,8,12.1,0.062,0.074,42.2,61.9,40.34,121.3,Sydväst,2003,5808,756,15.83,0.87,33.89,0.807,0.444,0.652,22,2.726,2026,64.11,186.7,0,0.075
2023,Skola_15,575,172,184,170,0.166,0.459,2.39,252.0,20,9,14.34,0.057,0.152,44.9,25.35,28.15,144.2,Nordost,1994,4655,713,3.66,1.19,28.75,0.806,0.45,1.11,29,0.786,2024,25.78,225.4,1,0.192
2024,Skola_15,743,217,236,216,0.166,0.51,1.46,254.7,38,19,16.07,0.062,0.095,43.1,81.42,50.09,98.2,Nordost,1994,4655,713,3.66,1.19,19.55,1.042,0.5,0.615,30,0.786,2025,84.24,246.4,0,0.298
2025,Skola_15,548,180,184,170,0.095,0.365,1.99,244.5,25,8,13.26,0.08,0.086,50.8,26.63,23.36,136.4,Nordost,1994,4655,713,3.66,1.19,21.92,0.769,0.32,0.877,31,0.786,2026,27.29,234.6,0,0.102
2023,Skola_16,299,85,92,84,0.09,0.28,4.64,263.6,42,21,14.29,0.072,0.167,44.3,34.85,23.91,108.0,Centrum,2009,6258,344,12.76,1.55,7.12,0.869,0.5,0.686,14,2.039,2024,35.65,288.5,0,0.145
2024,Skola_16,248,88,76,85,0.096,0.268,4.03,261.0,43,21,9.32,0.077,0.18,47.4,68.19,37.21,138.0,Centrum,2009,6258,344,12.76,1.55,5.77,0.721,0.488,0.546,15,2.039,2025,70.85,290.5,0,0.082
2025,Skola_16,288,97,95,99,0.091,0.431,4.76,218.9,44,15,6.29,0.042,0.163,44.4,26.79,16.27,137.3,Centrum,2009,6258,344,12.76,1.55,6.55,0.837,0.341,0.607,16,2.039,2026,27.95,246.1,0,0.203
2023,Skola_17,331,95,106,116,0.178,0.27,1.0,243.4,59,26,20.61,0.052,0.189,50.7,28.86,45.46,125.2,Västra,2007,4501,469,5.76,1.59,5.61,0.706,0.441,1.5,16,1.28,2024,29.85,270.2,0,0.173
2024,Skola_17,369,128,113,114,0.129,0.393,0.86,229.0,57,25,5.09,0.068,0.099,42.6,35.06,25.45,132.0,Västra,2007,4501,469,5.76,1.59,6.47,0.787,0.439,0.726,17,1.28,2025,35.49,255.7,0,0.136
2025,Skola_17,448,150,156,148,0.084,0.474,2.43,228.1,46,14,8.55,0.045,0.104,47.3,23.37,56.05,97.2,Västra,2007,4501,469,5.76,1.59,9.74,0.955,0.304,1.5,18,1.28,2026,23.9,238.8,0,0.101
2023,Skola_18,689,210,207,247,0.177,0.411,3.23,250.1,37,16,17.62,0.041,0.072,44.8,32.18,42.16,100.7,Nordost,1967,8242,788,14.68,1.55,18.62,0.874,0.432,1.31,56,1.781,2024,34.34,245.1,1,0.265
2024,Skola_18,512,161,171,165,0.18,0.364,2.9,259.5,18,9,10.68,0.058,0.077,44.5,84.85,33.05,98.4,Nordost,1967,8242,788,14.68,1.55,28.44,0.65,0.5,0.39,57,1.781,2025,87.48,230.8,1,0.178
2025,Skola_18,714,220,246,215,0.166,0.461,3.38,263.5,21,7,20.51,0.046,0.172,43.5,32.4,37.86,138.5,Nordost,1967,8242,788,14.68,1.55,34.0,0.906,0.333,1.169,58,1.781,2026,33.24,219.0,0,0.319
2023,Skola_19,565,166,200,199,0.088,0.482,0.76,218.1,19,6,21.19,0.061,0.068,46.2,38.19,31.57,123.4,Västra,2004,8854,829,5.41,1.31,29.74,0.682,0.316,0.827,19,0.611,2024,38.9,183.0,0,0.129
2024,Skola_19,753,260,248,227,0.136,0.53,3.91,214.0,41,14,16.29,0.079,0.08,48.7,62.99,45.82,111.2,Västra,2004,8854,829,5.41,1.31,18.37,0.908,0.341,0.727,20,0.611,2025,64.97,211.9,0,0.123
2025,Skola_19,841,237,274,269,0.105,0.364,1.12,249.5,36,19,16.27,0.052,0.144,42.3,45.35,52.44,140.3,Västra,2004,8854,829,5.41,1.31,23.36,1.014,0.528,1.156,21,0.611,2026,47.19,232.1,0,0.167
2023,Skola_20,434,144,155,125,0.136,0.541,2.27,252.3,50,26,9.55,0.081,0.126,42.0,48.3,57.85,103.8,Västra,1996,8596,482,14.65,1.96,8.68,0.9,0.52,1.198,27,1.704,2024,50.98,268.2,0,0.158
2024,Skola_20,472,168,153,138,0.151,0.47,4.31,217.9,45,20,20.34,0.074,0.121,49.9,73.87,53.99,123.2,Västra,1996,8596,482,14.65,1.96,10.49,0.979,0.444,0.731,28,1.704,2025,77.33,231.1,1,0.347
2025,Skola_20,404,139,129,136,0.163,0.525,1.89,258.7,23,9,18.36,0.083,0.117,47.0,65.59,16.64,137.1,Västra,1996,8596,482,14.65,1.96,17.57,0.838,0.391,0.254,29,1.704,2026,68.8,254.6,0,0.204
2023,Skola_21,469,163,153,150,0.099,0.344,3.69,267.5,29,15,11.04,0.062,0.188,41.9,65.04,39.45,124.1,Västra,1982,3733,631,7.39,2.14,16.17,0.743,0.517,0.607,41,1.98,2024,67.11,265.2,0,0.181
2024,Skola_21,587,184,184,195,0.122,0.518,1.78,244.7,20,10,15.89,0.056,0.165,46.1,32.08,51.28,121.5,Västra,1982,3733,631,7.39,2.14,29.35,0.93,0.5,1.5,42,1.98,2025,33.37,217.4,0,0.144
2025,Skola_21,497,172,153,139,0.131,0.357,1.9,256.3,64,20,10.73,0.071,0.166,44.6,60.3,21.48,126.4,Västra,1982,3733,631,7.39,2.14,7.77,0.788,0.312,0.356,43,1.98,2026,62.56,287.5,0,0.13
2023,Skola_22,540,172,170,153,0.087,0.542,2.39,239.5,42,22,10.44,0.074,0.115,39.5,37.02,47.54,96.4,Sydväst,1983,5348,547,14.0,1.58,12.86,0.987,0.524,1.284,40,2.618,2024,37.9,253.2,0,0.228
2024,Skola_22,374,125,125,133,0.143,0.271,3.45,225.3,19,9,15.02,0.06,0.14,46.6,29.84,23.29,115.0,Sydväst,1983,5348,547,14.0,1.58,19.68,0.684,0.474,0.78,41,2.618,2025,30.73,220.8,0,0.145
2025,Skola_22,356,117,111,123,0.169,0.332,3.78,226.2,32,13,23.73,0.05,0.121,49.6,76.85,14.3,122.8,Sydväst,1983,5348,547,14.0,1.58,11.12,0.651,0.406,0.186,42,2.618,2026,79.6,240.1,0,0.183
2023,Skola_23,454,158,147,132,0.106,0.367,0.92,252.5,55,23,11.22,0.08,0.119,45.1,24.27,30.7,109.9,Västra,1962,9729,530,10.43,1.75,8.25,0.857,0.418,1.265,61,1.072,2024,24.92,277.2,1,0.297
2024,Skola_23,385,138,121,115,0.08,0.472,3.66,247.1,22,10,21.57,0.066,0.079,45.8,32.34,35.09,112.1,Västra,1962,9729,530,10.43,1.75,17.5,0.726,0.455,1.085,62,1.072,2025,33.84,246.3,0,0.216
2025,Skola_23,393,118,128,136,0.08,0.548,3.02,220.9,43,19,24.83,0.081,0.113,38.5,38.5,40.91,107.2,Västra,1962,9729,530,10.43,1.75,9.14,0.742,0.442,1.063,63,1.072,2026,40.34,231.5,0,0.182
2023,Skola_24,350,107,105,101,0.102,0.49,2.78,240.9,52,19,12.2,0.041,0.063,38.1,83.24,24.98,144.4,Västra,1971,11569,335,14.9,1.7,6.73,1.045,0.365,0.3,52,1.288,2024,87.81,258.6,0,0.299
2024,Skola_24,329,96,99,107,0.099,0.413,4.06,262.8,23,7,10.0,0.048,0.077,39.7,32.17,55.8,98.1,Västra,1971,11569,335,14.9,1.7,14.3,0.982,0.304,1.5,53,1.288,2025,33.68,268.9,0,0.266
2025,Skola_24,295,90,95,91,0.122,0.388,3.8,228.3,61,30,9.09,0.082,0.122,47.3,22.47,18.29,130.4,Västra,1971,11569,335,14.9,1.7,4.84,0.881,0.492,0.814,54,1.288,2026,23.74,259.2,1,0.189
2023,Skola_25,281,79,96,97,0.179,0.505,1.57,241.4,30,10,20.57,0.054,0.153,38.0,36.66,26.13,128.7,Hisingen,2000,10042,345,1.82,1.9,9.37,0.814,0.333,0.713,23,0.181,2024,37.26,256.2,0,0.231
2024,Skola_25,354,121,118,99,0.143,0.368,3.92,254.8,21,10,16.94,0.055,0.094,38.8,23.86,37.77,115.0,Hisingen,2000,10042,345,1.82,1.9,16.86,1.026,0.476,1.5,24,0.181,2025,24.45,255.9,0,0.216
2025,Skola_25,285,97,90,94,0.082,0.352,4.61,265.5,59,25,10.76,0.046,0.1,47.9,32.17,54.12,113.0,Hisingen,2000,10042,345,1.82,1.9,4.83,0.826,0.424,1.5,25,0.181,2026,32.85,298.4,1,0.122
